feature_id,semantic_source_feature_id,relevance_scaled,confidence_scaled,agreement,reliability,text_score,condition,llm_runs
F000001,F000161,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000002,F000003,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000003,F000405,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000004,F000163,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000005,F000156,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000006,F000422,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000007,F000032,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000008,F001388,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000009,F000768,0.25,1.0,1.0,1.0,0.25,permuted_seed_0019,3
F000010,F000407,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000011,F000313,0.25,1.0,1.0,1.0,0.25,permuted_seed_0019,3
F000012,F000428,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000013,F000872,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000014,F000346,0.25,1.0,1.0,1.0,0.25,permuted_seed_0019,3
F000015,F001353,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000016,F000055,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000017,F000400,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000018,F000121,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000019,F001300,0.25,1.0,1.0,1.0,0.25,permuted_seed_0019,3
F000020,F000907,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000021,F001240,0.5,1.0,1.0,1.0,0.5,permuted_seed_0019,3
F000022,F001265,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000023,F000752,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000024,F001307,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000025,F000624,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000026,F000749,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000027,F000199,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000028,F000290,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000029,F001610,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000030,F001014,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000031,F001731,0.25,1.0,1.0,1.0,0.25,permuted_seed_0019,3
F000032,F000756,0.25,1.0,1.0,1.0,0.25,permuted_seed_0019,3
F000033,F001649,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000034,F000560,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000035,F001521,0.25,1.0,1.0,1.0,0.25,permuted_seed_0019,3
F000036,F000833,0.25,1.0,1.0,1.0,0.25,permuted_seed_0019,3
F000037,F000711,0.25,1.0,1.0,1.0,0.25,permuted_seed_0019,3
F000038,F000134,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000039,F000293,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000040,F000526,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000041,F000242,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000042,F000434,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000043,F000566,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000044,F001647,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000045,F000784,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000046,F000318,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000047,F001960,0.75,1.0,1.0,1.0,0.75,permuted_seed_0019,3
F000048,F000771,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000049,F001697,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000050,F001084,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000051,F000692,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000052,F001452,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000053,F001546,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000054,F001639,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000055,F001876,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000056,F001588,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000057,F000117,0.5,1.0,1.0,1.0,0.5,permuted_seed_0019,3
F000058,F001729,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000059,F001951,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000060,F001581,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000061,F001565,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000062,F000110,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000063,F000917,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000064,F001155,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000065,F000848,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000066,F001966,0.25,1.0,1.0,1.0,0.25,permuted_seed_0019,3
F000067,F000363,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000068,F000916,0.25,1.0,1.0,1.0,0.25,permuted_seed_0019,3
F000069,F000876,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000070,F001050,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000071,F001853,0.25,1.0,1.0,1.0,0.25,permuted_seed_0019,3
F000072,F000479,0.5,1.0,1.0,1.0,0.5,permuted_seed_0019,3
F000073,F000795,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000074,F000814,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000075,F000185,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000076,F000340,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000077,F001416,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000078,F001621,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000079,F001578,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000080,F001843,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000081,F001730,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000082,F000494,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000083,F001352,0.5,1.0,1.0,1.0,0.5,permuted_seed_0019,3
F000084,F001138,0.5,1.0,1.0,1.0,0.5,permuted_seed_0019,3
F000085,F001726,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000086,F000975,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000087,F000895,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000088,F001972,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000089,F001235,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000090,F000514,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000091,F000464,0.25,1.0,1.0,1.0,0.25,permuted_seed_0019,3
F000092,F001332,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000093,F001509,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000094,F001190,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000095,F000414,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000096,F001012,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000097,F001666,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000098,F001645,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000099,F000335,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000100,F000429,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000101,F001239,0.25,1.0,1.0,1.0,0.25,permuted_seed_0019,3
F000102,F000376,0.25,1.0,1.0,1.0,0.25,permuted_seed_0019,3
F000103,F000108,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000104,F000575,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000105,F001375,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000106,F000069,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000107,F001872,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000108,F000096,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000109,F000099,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000110,F000075,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000111,F000843,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000112,F001808,0.75,1.0,1.0,1.0,0.75,permuted_seed_0019,3
F000113,F001854,0.5,1.0,1.0,1.0,0.5,permuted_seed_0019,3
F000114,F001196,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000115,F001403,0.25,1.0,1.0,1.0,0.25,permuted_seed_0019,3
F000116,F000723,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000117,F000946,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000118,F001209,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000119,F000754,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000120,F001777,0.25,1.0,1.0,1.0,0.25,permuted_seed_0019,3
F000121,F000142,0.25,1.0,1.0,1.0,0.25,permuted_seed_0019,3
F000122,F000847,0.25,1.0,1.0,1.0,0.25,permuted_seed_0019,3
F000123,F001795,0.25,1.0,1.0,1.0,0.25,permuted_seed_0019,3
F000124,F000983,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000125,F001702,0.25,1.0,1.0,1.0,0.25,permuted_seed_0019,3
F000126,F000249,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000127,F000374,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000128,F001719,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
F000129,F001636,0.25,1.0,1.0,1.0,0.25,permuted_seed_0019,3
F000130,F001943,0.0,1.0,1.0,1.0,0.0,permuted_seed_0019,3
